id,sentiment
1,love
2,neutral
3,neutral
4,happiness
5,neutral
6,happiness
7,worry
8,neutral
9,neutral
10,worry
11,neutral
12,neutral
13,love
14,neutral
15,neutral
16,happiness
17,worry
18,happiness
19,worry
20,happiness
21,neutral
22,love
23,happiness
24,neutral
25,worry
26,worry
27,neutral
28,neutral
29,neutral
30,happiness
31,worry
32,worry
33,neutral
34,neutral
35,happiness
36,neutral
37,neutral
38,worry
39,worry
40,worry
41,love
42,worry
43,neutral
44,neutral
45,love
46,neutral
47,neutral
48,happiness
49,worry
50,happiness
51,neutral
52,neutral
53,neutral
54,happiness
55,worry
56,worry
57,neutral
58,worry
59,happiness
60,neutral
61,neutral
62,neutral
63,worry
64,worry
65,happiness
66,neutral
67,happiness
68,happiness
69,happiness
70,neutral
71,neutral
72,happiness
73,love
74,neutral
75,worry
76,love
77,neutral
78,neutral
79,neutral
80,neutral
81,worry
82,worry
83,love
84,neutral
85,neutral
86,worry
87,neutral
88,worry
89,neutral
90,worry
91,neutral
92,happiness
93,happiness
94,neutral
95,worry
96,worry
97,neutral
98,sadness
99,happiness
100,happiness
101,neutral
102,neutral
103,worry
104,neutral
105,neutral
106,neutral
107,neutral
108,neutral
109,happiness
110,neutral
111,neutral
112,love
113,worry
114,happiness
115,worry
116,neutral
117,happiness
118,neutral
119,neutral
120,neutral
121,love
122,neutral
123,neutral
124,happiness
125,happiness
126,love
127,happiness
128,neutral
129,worry
130,neutral
131,happiness
132,worry
133,worry
134,love
135,neutral
136,neutral
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,happiness
143,love
144,worry
145,neutral
146,love
147,neutral
148,neutral
149,worry
150,neutral
151,worry
152,love
153,worry
154,neutral
155,worry
156,neutral
157,worry
158,neutral
159,neutral
160,happiness
161,happiness
162,neutral
163,worry
164,happiness
165,love
166,neutral
167,neutral
168,love
169,happiness
170,happiness
171,worry
172,worry
173,worry
174,worry
175,love
176,neutral
177,neutral
178,happiness
179,worry
180,neutral
181,happiness
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,happiness
192,neutral
193,worry
194,worry
195,happiness
196,neutral
197,neutral
198,sadness
199,happiness
200,worry
201,neutral
202,worry
203,neutral
204,worry
205,neutral
206,neutral
207,worry
208,worry
209,neutral
210,happiness
211,neutral
212,neutral
213,neutral
214,happiness
215,worry
216,neutral
217,neutral
218,neutral
219,neutral
220,happiness
221,worry
222,neutral
223,neutral
224,worry
225,worry
226,neutral
227,neutral
228,neutral
229,happiness
230,worry
231,neutral
232,love
233,neutral
234,worry
235,neutral
236,worry
237,worry
238,worry
239,worry
240,neutral
241,love
242,neutral
243,happiness
244,happiness
245,happiness
246,love
247,love
248,neutral
249,happiness
250,neutral
251,happiness
252,love
253,neutral
254,neutral
255,worry
256,neutral
257,worry
258,neutral
259,worry
260,worry
261,worry
262,neutral
263,sadness
264,neutral
265,happiness
266,worry
267,neutral
268,love
269,neutral
270,happiness
271,worry
272,happiness
273,happiness
274,worry
275,neutral
276,happiness
277,happiness
278,worry
279,worry
280,neutral
281,neutral
282,worry
283,neutral
284,neutral
285,happiness
286,love
287,happiness
288,worry
289,worry
290,love
291,happiness
292,happiness
293,happiness
294,neutral
295,neutral
296,neutral
297,worry
298,neutral
299,neutral
300,neutral
301,worry
302,happiness
303,happiness
304,neutral
305,happiness
306,neutral
307,neutral
308,worry
309,worry
310,neutral
311,neutral
312,neutral
313,neutral
314,neutral
315,happiness
316,neutral
317,neutral
318,love
319,worry
320,worry
321,love
322,neutral
323,neutral
324,happiness
325,happiness
326,worry
327,neutral
328,worry
329,worry
330,neutral
331,neutral
332,worry
333,neutral
334,happiness
335,neutral
336,neutral
337,happiness
338,worry
339,love
340,neutral
341,love
342,neutral
343,neutral
344,neutral
345,neutral
346,worry
347,love
348,worry
349,worry
350,worry
351,love
352,worry
353,happiness
354,happiness
355,love
356,worry
357,worry
358,neutral
359,neutral
360,happiness
361,neutral
362,neutral
363,neutral
364,worry
365,neutral
366,love
367,neutral
368,worry
369,neutral
370,neutral
371,love
372,neutral
373,happiness
374,neutral
375,neutral
376,happiness
377,worry
378,happiness
379,neutral
380,worry
381,neutral
382,neutral
383,neutral
384,neutral
385,worry
386,neutral
387,love
388,love
389,love
390,neutral
391,love
392,neutral
393,happiness
394,neutral
395,worry
396,neutral
397,neutral
398,neutral
399,worry
400,happiness
401,neutral
402,worry
403,neutral
404,neutral
405,happiness
406,neutral
407,worry
408,happiness
409,neutral
410,happiness
411,neutral
412,neutral
413,happiness
414,love
415,neutral
416,neutral
417,neutral
418,neutral
419,happiness
420,neutral
421,love
422,neutral
423,neutral
424,neutral
425,happiness
426,worry
427,neutral
428,worry
429,worry
430,love
431,worry
432,neutral
433,love
434,neutral
435,neutral
436,neutral
437,happiness
438,neutral
439,neutral
440,neutral
441,neutral
442,happiness
443,happiness
444,happiness
445,sadness
446,neutral
447,worry
448,happiness
449,happiness
450,happiness
451,worry
452,worry
453,worry
454,neutral
455,worry
456,neutral
457,worry
458,love
459,worry
460,happiness
461,neutral
462,worry
463,neutral
464,happiness
465,happiness
466,neutral
467,happiness
468,neutral
469,neutral
470,neutral
471,worry
472,neutral
473,love
474,neutral
475,worry
476,worry
477,neutral
478,neutral
479,neutral
480,love
481,neutral
482,love
483,neutral
484,happiness
485,neutral
486,happiness
487,neutral
488,neutral
489,neutral
490,happiness
491,worry
492,love
493,neutral
494,worry
495,happiness
496,happiness
497,neutral
498,worry
499,neutral
500,neutral
501,neutral
502,worry
503,neutral
504,neutral
505,worry
506,happiness
507,neutral
508,neutral
509,happiness
510,love
511,neutral
512,happiness
513,sadness
514,neutral
515,neutral
516,neutral
517,neutral
518,neutral
519,neutral
520,worry
521,worry
522,neutral
523,neutral
524,neutral
525,love
526,worry
527,worry
528,worry
529,happiness
530,love
531,happiness
532,neutral
533,worry
534,worry
535,neutral
536,neutral
537,love
538,worry
539,neutral
540,happiness
541,love
542,neutral
543,worry
544,worry
545,neutral
546,neutral
547,worry
548,worry
549,happiness
550,neutral
551,worry
552,worry
553,neutral
554,neutral
555,worry
556,happiness
557,neutral
558,neutral
559,neutral
560,neutral
561,worry
562,worry
563,neutral
564,love
565,happiness
566,happiness
567,neutral
568,neutral
569,neutral
570,worry
571,neutral
572,happiness
573,neutral
574,neutral
575,happiness
576,happiness
577,worry
578,neutral
579,happiness
580,neutral
581,happiness
582,happiness
583,neutral
584,neutral
585,worry
586,neutral
587,happiness
588,neutral
589,neutral
590,neutral
591,neutral
592,love
593,love
594,neutral
595,happiness
596,neutral
597,neutral
598,happiness
599,neutral
600,love
601,neutral
602,worry
603,worry
604,neutral
605,worry
606,love
607,worry
608,worry
609,happiness
610,neutral
611,neutral
612,worry
613,happiness
614,happiness
615,neutral
616,worry
617,neutral
618,worry
619,worry
620,love
621,happiness
622,worry
623,happiness
624,love
625,worry
626,worry
627,neutral
628,love
629,worry
630,happiness
631,worry
632,worry
633,sadness
634,neutral
635,neutral
636,neutral
637,worry
638,neutral
639,worry
640,neutral
641,worry
642,neutral
643,happiness
644,neutral
645,neutral
646,worry
647,happiness
648,happiness
649,worry
650,worry
651,neutral
652,neutral
653,happiness
654,happiness
655,worry
656,love
657,neutral
658,worry
659,neutral
660,worry
661,neutral
662,worry
663,worry
664,happiness
665,happiness
666,neutral
667,neutral
668,worry
669,neutral
670,neutral
671,happiness
672,neutral
673,neutral
674,neutral
675,happiness
676,neutral
677,happiness
678,happiness
679,worry
680,love
681,neutral
682,worry
683,neutral
684,neutral
685,worry
686,worry
687,worry
688,neutral
689,worry
690,neutral
691,neutral
692,worry
693,happiness
694,sadness
695,neutral
696,neutral
697,worry
698,happiness
699,sadness
700,happiness
701,neutral
702,worry
703,happiness
704,neutral
705,happiness
706,neutral
707,worry
708,happiness
709,neutral
710,worry
711,neutral
712,worry
713,neutral
714,neutral
715,neutral
716,sadness
717,worry
718,neutral
